Translation of English phrases into other languages
English                                                           Spanish                                                                 German                                                                     French                                                                       Japanese                                                        Russian                                                   Korean                                                               Greek                                                                     Polish                                                             Portugese                                                              Chinese (simplified)-                     Arabic
what time do you think youll arrive?                              qué hora crees que el youll llegar?                                     welcher Zeit, glauben Sie, youll kommen?                                   quelle heure pensez-vous que vous aurez arrivez?                             あなたは何時に到着するyoullのだと思いますか？                   в какое время вы думаете, вы будете поступать?            당신은 어떤 시간에 도착 알면 생각 하는가?                            Τι ώρα νομίζετε ότι θα είστε φτάσει;                                      co czas myślisz, będziesz przyjeżdżać?                             a que horas você acha que você vai chegar?                             什么时候你觉得你会到达？                  ما الوقت هل تعتقد تصل يوول؟
what time does it start?                                          a qué hora empieza eso?                                                 um wie viel uhr geht es los?                                               a quelle heure ça commence?                                                  何時に始まりますか？                                            во сколько начало?                                        무슨 시간을 시작합니까?                                              Τι ώρα ξεκινάει;                                                          jakim czasie to się zaczęło?                                       que horas vai começar?                                                 它什么时候开始的？                        ما الوقت الذي تبدأ فيه؟
what time does the movie start?                                   a qué hora empieza la película?                                         wann startet der film?                                                     a quelle heure le film débute-t-il?                                          映画は何時に開始しますか？                                      во сколько начинается фильм?                              영화는 몇시에 시작합니까?                                            Τι ώρα αρχίζει η ταινία;                                                  jakim czasie zaczyna się film?                                     que horas o filme começa?                                              请问电影什么时候开始？                    متى يبدأ الفلم؟
what time does the store open?                                    qué hora abre la tienda?                                                Wann kommt das Geschäft zu eröffnen?                                       quelle heure le magasin ouvert?                                              店は何時に開くのですか？                                        в какое время открыть магазин?                            상점은 어떤 시간을 열 수 있는가?                                     Τι ώρα ανοίγει το κατάστημα;                                              jakim czasie ma sklep otworzyć?                                    que horas a loja abrir?                                                商店几点开门什么时候？                    وقت ما لا المتجر فتح؟
what time is checkout?                                            qué hora es la comprobación?                                            wie spät ist Kasse?                                                        quelle heure est la caisse?                                                  チェックアウトは何時ですか？                                    что такое время заказ?                                    체크 아웃은 몇시입니까?                                              τι ώρα είναι ταμείο;                                                      co czas jest kasa?                                                 que é o tempo de checkout?                                             现在是什么时候结账？                      ما الوقت هو الخروج؟
what time is it?                                                  qué hora es?                                                            wie spät ist es?                                                           quelle heure est-il?                                                         今何時ですか？                                                  сколько времени?                                          지금 몇 시죠?                                                        τι ώρα είναι;                                                             która godzina?                                                     que horas são?                                                         现在是几奌？                              أي ساعة؟
what will the weather be like tomorrow?                           ¿Qué tiempo hará mañana?                                                wie wird das Wetter morgen?                                                quelle sera la météo demain?                                                 天気は明日のように何になりますか？                              Что будет погода будет завтра?                            날씨는 내일처럼 될 것인가?                                           τι θα είναι ο καιρός αύριο;                                               co będzie pogoda jutro?                                            o que vai estar o tempo amanhã?                                        明天天气是什么样的明天？                  ماذا سيكون حال الطقس غدا؟
what would you like to drink?                                     qué le gustaría beber?                                                  was möchten sie trinken?                                                   que voulez-vous boire?                                                       飲み物は何にしますか？                                          что бы вы хотели выпить?                                  음료수는 무엇으로 하시겠습니까?                                      τι θα θέλατε να πιείτε;                                                   co chcesz do picia?                                                o que você gostaria de beber?                                          你想喝点什么？                            ماذا تحب أن تشرب؟
what would you like to eat?                                       ¿qué te gustaría comer?                                                 was möchtest du essen?                                                     que voudriez-vous manger?                                                    何を食べたい？                                                  Что бы вы хотели съесть?                                  당신은 무엇을 먹고 싶은 것?                                          τι θα θέλατε να φάτε;                                                     co lubisz jeść?                                                    o que você gosta de comer?                                             你会喜欢吃什么？                          ماذا تريد أن تأكل؟
what's the address?                                               ¿Cuál es la dirección?                                                  was ist die Adresse?                                                       Quelle est l'adresse?                                                        アドレスは何ですか？                                            что адрес?                                                주소는 무엇인가?                                                     Ποια είναι η διεύθυνση;                                                   co jest adres?                                                     Qual é o endereço?                                                     什么是地址？                              ما هو العنوان؟
what's the charge per night?                                      ¿cuál es el cargo por noche?                                            was ist die Gebühr pro Nacht?                                              ce est la charge par nuit?                                                   一泊料金は何ですか？                                            что плата за ночь?                                        박 요금은 무엇인가?                                                  ποια είναι η χρέωση ανά νύχτα;                                            jaka jest opłata za noc?                                           o que é o responsável por noite?                                       什么是每晚收费？                          ما هي تهمة في الليل؟
what's the date?                                                  ¿cuál es la fecha?                                                      was ist der Stand?                                                         ce est la date?                                                              日付は何ですか？                                                что дата?                                                 날짜는 무엇인가?                                                     ποια είναι η ημερομηνία;                                                  co dzień?                                                          Qual é a data?                                                         什么日期？                                ما هو التاريخ؟
what's the exchange rate for dollars?                             ¿cuál es la tasa de cambio de dólares?                                  was ist der Wechselkurs für den Dollar?                                    quel est le taux de change du dollar?                                        ドルの為替レートは何ですか？                                    что обменный курс на доллары?                             달러에 대한 환율은 무엇인가?                                         ποια είναι η συναλλαγματική ισοτιμία για δολάρια;                         co kurs na dolary?                                                 qual é a taxa de câmbio para dólares?                                  什么是汇率的美元？                        ما هو سعر الصرف للدولار؟
what's the exchange rate?                                         ¿cuál es el tipo de cambio?                                             was ist der Wechselkurs?                                                   quel est le taux de change?                                                  為替レートは何ですか？                                          что обменный курс?                                        환율은 무엇인가?                                                     ποια είναι η συναλλαγματική ισοτιμία;                                     co jest kurs?                                                      qual é a taxa de câmbio?                                               什么是汇率？                              ما هو سعر الصرف؟
what's the matter?                                                qué pasa?                                                               was ist los?                                                               quel est le problème?                                                        どうしたのですか？                                              что случилось?                                            무슨 일이야?                                                         ποιο είναι το θέμα;                                                       Co się stało?                                                      qual é o problema?                                                     怎么了？                                  ماذا جرى؟
what's the name of the company you work for?                      ¿cuál es el nombre de la empresa para la que trabaja?                   was ist der Name der Firma, für die Sie arbeiten?                          quel est le nom de l'entreprise pour laquelle vous travaillez?               あなたが働いている会社の名前は何ですか？                        что название компании вы работаете?                       당신이 일하는 회사의 이름은 무엇입니까?                              ποιο είναι το όνομα της εταιρείας που εργάζεστε για;                      jaka jest nazwa firmy, w której pracujesz?                         qual é o nome da empresa onde você trabalha?                           什么是你工作的公司的名称？                ما هو اسم الشركة التي تعمل ل؟
what's the phone number?                                          ¿cuál es el número de teléfono?                                         was ist die Telefonnummer?                                                 quel est le numéro de téléphone?                                             電話番号は何ですか？                                            что номер телефона?                                       전화 번호는 무엇입니까?                                              τι είναι ο αριθμός τηλεφώνου;                                             co jest numer telefonu?                                            qual é o número de telefone?                                           什么电话号码？                            ما هو رقم الهاتف؟
what's the room rate?                                             ¿cuál es el precio de la habitación?                                    was ist der Zimmerpreis?                                                   quel est le prix de la chambre?                                              客室料金は何ですか？                                            что стоимость номера?                                     객실 요금은 무엇인가?                                                ποια είναι η τιμή του δωματίου;                                           co to za pokój?                                                    qual é a taxa de quarto?                                               什么是房价？                              ما هو سعر الغرفة؟
what's the temperature?                                           ¿cuál es la temperatura?                                                Was ist die Temperatur?                                                    ce est la température?                                                       温度は何ですか？                                                что температура?                                          온도는 무엇인가?                                                     ποια είναι η θερμοκρασία;                                                 jaka jest temperatura?                                             Qual é a temperatura?                                                  什么温度？                                ما هي درجة الحرارة؟
what's this?                                                      qué es esto?                                                            was ist das?                                                               qu'est-ce que c'est ça?                                                      これは何ですか？                                                что это?                                                  이것은 무엇입니까?                                                   Τι είναι αυτό;                                                            co to jest?                                                        o que é isso?                                                          这是什么？                                ما هذا؟
what's todays date?                                               ¿cuál es la fecha de hoy?                                               was heutige Datum?                                                         ce est la date du jour?                                                      今日の日は何ですか？                                            что дата сегодняшняя?                                     오늘 날짜는 무엇인가?                                                τι είναι σημερινή ημερομηνία;                                             co jest data dzisiejsza?                                           o que é a data de hoje?                                                什么是今天的日期？                        ما هو تاريخ اليوم؟
what's up?                                                        qué pasa?                                                               was ist los?                                                               quoi de neuf?                                                                どうしたの？                                                    что происходит?                                           무슨 일 이죠?                                                        τι συμβαίνει;                                                             o co chodzi?                                                       o que está acontecendo?                                                这是怎么回事？                            ماذا تفعل؟
what's wrong?                                                     lo que está mal?                                                        was ist los?                                                               qu'est-ce qui ne va pas?                                                     どうしましたか？                                                что не так?                                               무슨 일이야?                                                         τι είναι λάθος;                                                           co jest nie tak?                                                   o que está errado?                                                     怎么了？                                  ما هو الخطأ؟
what's your address?                                              ¿cuál es su dirección?                                                  was ist Ihre Adresse?                                                      quelle est votre adresse?                                                    あなたの住所は何ですか？                                        что ваш адрес?                                            당신의 주소는 무엇입니까?                                            Ποια είναι η διεύθυνση;                                                   Jaki jest twój adres?                                              qual é o seu endereço?                                                 什么是你的地址是什么？                    ما هو عنوانك؟
what's your favorite food?                                        ¿Cuál es tu comida favorita?                                            Was ist Ihr Lieblingsessen?                                                ce est votre plat préféré?                                                   あなたの好きな食べ物は何ですか？                                что любимая еда?                                          가장 좋아하는 음식은 무엇입니까?                                     ποιο είναι το αγαπημένο σας φαγητό;                                       jaka jest twoja ulubiona potrawa?                                  qual é a sua comida favorita?                                          什么是你最喜欢的食物是什么？              ما هو الطعام المفضل لديك؟
what's your favorite movie?                                       ¿Cuál es tu película favorita?                                          Was ist Ihr Lieblingsfilm?                                                 quel est votre film préféré?                                                 あなたの好きな映画は何ですか？                                  какой твой любимый фильм?                                 좋아하는 영화는 무엇입니까?                                          τι είναι η αγαπημένη σας ταινία;                                          Jaki jest twój ulubiony film?                                      qual é o seu filme favorito?                                           什么是你最喜欢的电影？                    ما هو الفيلم المفضل لديك؟
what's your last name?                                            ¿cuál es tu apellido?                                                   was ist Ihr Nachname?                                                      quel est votre nom?                                                          あなたの名字は何ですか？                                        что ваша фамилия?                                         마지막 이름이 뭐죠?                                                  τι είναι το επώνυμό σας;                                                  jak masz na nazwisko?                                              qual é o seu sobrenome?                                                什么是你的姓？                            ما هو اسم آخر؟
what's your name?                                                 cuál es tu nombre?                                                      wie heißen sie?                                                            quel est votre nom?                                                          あなたの名前は何ですか？                                        как тебя зовут?                                           당신의 이름은 무엇입니까?                                            ποιο είναι το όνομα σας;                                                  jak masz na imię?                                                  qual o seu nome?                                                       你叫什么名字？                            ما اسمك؟
what's your religion?                                             ¿cuál es tu religión?                                                   Was ist Ihre Religion?                                                     quelle est votre religion?                                                   あなたの宗教は何ですか？                                        что ваша религия?                                         당신의 종교는 무엇입니까?                                            τι είναι η θρησκεία σας;                                                  jaka jest twoja religia?                                           qual é a sua religião?                                                 什么是你的宗教？                          ما هو دينك؟
whats in it?                                                      cuál está en él?                                                        was ist drin?                                                              ce qui est en elle?                                                          いただきました！それで？                                        Что в нем?                                                무슨 거기에?                                                         τι είναι σε αυτό;                                                         Co w nim jest?                                                     o que está nele?                                                       什么的呢？                                ماذا يكون في ذلك؟
when are they coming?                                             cuando están viniendo?                                                  wann kommen sie?                                                           où viennent-ils?                                                             彼らは時に来ている？                                            когда они приходят?                                       그들은 언제 오는거야?                                                όταν είναι αυτοί που έρχονται;                                            gdy są nadchodzi?                                                  quando eles estão vindo?                                               他们什么时候来？                          عندما هم القادمة؟
when are you coming back?                                         cuando vas a volver?                                                    wann kommst du wieder?                                                     quand reviendras-tu?                                                         ときに戻って来ている？                                          когда ты вернешься?                                       언제 돌아 오시나요?                                                  όταν θα έρθεις πίσω;                                                      kiedy wracasz?                                                     quando você está voltando?                                             你什么时候回来？                          عندما كنت أعود؟
when are you going to pick up your friend?                        cuando vas a recoger a su amigo?                                        wann werden Sie zur Abholung Ihrer Freundin?                               quand allez-vous chercher votre ami?                                         ときにあなたの友人をピックアップするつもりですか？              когда вы собираетесь, чтобы забрать своего друга?         때 당신은 당신의 친구를 데리러가는거야?                              όταν πρόκειται να πάρει ο φίλος σας;                                      gdy idziesz odebrać przyjaciela?                                   quando é que você vai pegar o seu amigo?                               当你要拿起你的朋友吗？                    عندما أنت ذاهب لالتقاط صديقك؟
when are you leaving?                                             cuando te vas?                                                          wann gehst du?                                                             quand partez-vous?                                                           あなたは時を残していますか？                                    Когда вы уезжаете?                                        당신은 언제 떠나?                                                    όταν φεύγετε;                                                             Kiedy wyjeżdżasz?                                                  quando você vai embora?                                                你什么时候离开？                          عندما أنت ذاهبة؟
when are you moving?                                              cuando te mudas?                                                        wenn Sie um?                                                               quand vous déménagez?                                                        あなたは時を移動している？                                      когда вы переезжаете?                                     당신은 때를 이동?                                                    πότε θα κινείται;                                                         gdy jesteś w ruchu?                                                quando você está em movimento?                                         当你感动？                                عندما أنت تتحرك؟
when did this happen?                                             cuando sucedió esto?                                                    wenn das passiert?                                                         quand est-ce arrivé?                                                         ときこれが起こるのですか？                                      когда это произошло?                                      때 이런 일이 발생 했습니까?                                          Πότε συνέβη αυτό;                                                         kiedy to się stało?                                                quando isso aconteceu?                                                 当出现这种情况？                          عندما حدث هذا؟
when did you arrive in boston?                                    cuando llegaste en Boston?                                              Wann haben Sie in Boston ankommen?                                         quand avez-vous arrivez à Boston?                                            あなたがボストンのときに到着しましたか？                        когда вы приедете в Бостоне?                              당신은 보스턴에서 언제 도착 했습니까?                                πότε θα φτάσετε στη Βοστώνη;                                              kiedy po przyjeździe do Bostonu?                                   Quando você chegou em Boston?                                          当你在波士顿的时候？                      عند لم يصل في بوسطن؟
when do we arrive?                                                ¿cuándo llegamos?                                                       Wann kommen wir?                                                           quand avons-nous arrivons?                                                   ときに我々が到着しますか？                                      Когда мы приходим?                                        때 우리는 도착합니까?                                                πότε φτάνουμε;                                                            kiedy mamy przyjechać?                                             quando é que vamos chegar?                                             我们什么时候到达？                        متى نصل؟
when do you arrive in the United States?                          cuando no esté en los Estados Unidos?                                   wenn Sie in den Vereinigten Staaten zu gelangen?                           quand pensez-vous arriver aux États-Unis?                                    ときに米国に到着しますか？                                      когда вы приедете в США?                                  때 당신은 미국에 도착합니까?                                         πότε θα φτάσετε στις Ηνωμένες Πολιτείες;                                  kiedy należy przybyć w Stanach Zjednoczonych?                      quando você chega nos Estados Unidos?                                  当你在美国到达？                          متى تصل في الولايات المتحدة؟
when do you get off work?                                         ¿cuándo sales del trabajo?                                              wenn Sie sich aus der Arbeit?                                              quand vous obtenez arrêt de travail?                                         ときに仕事をオフに取得するのですか？                            когда вы получаете от работы?                             때 당신이 일을 어떻게해야합니까?                                     όταν δεν μπορείτε να πάρετε από την εργασία;                              kiedy kończysz pracę?                                              quando você sai do trabalho?                                           你什么时候下班？                          عندما تحصل على التوقف عن العمل؟
when does he arrive?                                              ¿cuándo llega?                                                          wann wird er kommen?                                                       quand est-il arrivé?                                                         ときに彼が到着しますか？                                        Когда он приехал?                                         때 그는 도착합니까?                                                  όταν δεν θέλει να φτάσει;                                                 gdy ma on przybyć?                                                 quando ele chegar?                                                     他什么时候到？                            عندما انه لا يصل؟
when does it arrive?                                              ¿cuándo llega?                                                          wann wird es ankommen?                                                     quand at-il arriver?                                                         時それが到着しますか？                                          Когда она приезжает?                                      때 도착합니까?                                                       πότε φτάσει;                                                              kiedy to przyjechać?                                               quando ele chega?                                                      当它到达？                                عندما لا يصل؟
when does it leave?                                               ¿cuándo se va?                                                          wann wird es gehen?                                                        quand at-il laissé?                                                          とき、それは残していますか？                                    Когда она ушла?                                           때 떠나야 하는가?                                                    πότε να φύγω;                                                             kiedy to zostawić?                                                 quando ele sair?                                                       当它离开？                                عندما لا يترك؟
when does the bank open?                                          ¿cuándo abrir el banco?                                                 wann wird die Bank zu eröffnen?                                            lorsque la banque ne ouvrir?                                                 時銀行は開いていますか？                                        когда же открыть банк?                                    때 은행은 열리지 않습니다?                                           όταν η τράπεζα δεν ανοίγει;                                               kiedy to bank otworzy?                                             quando é que o banco abrir?                                            什么时候银行开？                          متى يفتح البنك؟
when does the bus leave?                                          cuando sale el autobús?                                                 wann kommt der Bus verlassen?                                              lorsqu'il ne laisse le bus?                                                  ときバスは残していますか？                                      когда же оставить автобус?                                때 버스가 떠나니까?                                                  Πότε φεύγει το λεωφορείο;                                                 kiedy odjeżdża autobus?                                            quando é que o ônibus sair?                                            什么时候公交车离开？                      عندما تغادر الحافلة؟
when does the plane arrive?                                       cuando llega el avión?                                                  wann wird das Flugzeug anreisen?                                           lorsque l'avion ne arrive?                                                   とき飛行機が到着しますか？                                      когда же самолет приехать?                                때 비행기가 도착합니까?                                              όταν δεν το αεροπλάνο φτάσει;                                             kiedy to samolot przyjechać?                                       quando é que o avião chegar?                                           飞机何时到达？                            عندما لا تصل الطائرة؟
when I went to the store they didn't have any apples?             cuando fui a la tienda no tenían ninguna manzana?                       Als ich ging in den Laden sie hatte keine Äpfel?                           quand je suis allé au magasin, ils ne avaient pas de pommes?                 私は店に行ったとき、彼らはすべてのリンゴを持っていなかった？    когда я пошел в магазин, они не имеют каких-либо яблоки?  내가 가게에 갔을 때 그들은 어떤 사과를하지 않았다?                   όταν πήγα στο κατάστημα δεν έχει καμία μήλα;                              kiedy poszedłem do sklepu, nie mieli żadnych jabłek?               quando eu fui à loja que não tem nenhum maçãs?                         当我去商店，他们没有任何的苹果？          عندما ذهبت الى المتجر لم يكن لديهم أي التفاح؟
when is the next bus to philadelphia?                             cuando es el próximo autobús a Philadelphia?                            wenn der nächste Bus nach Philadelphia?                                    quand est le prochain bus à Philadelphie?                                    時フィラデルフィアの次のバスはありますか？                      когда это следующий автобус в Филадельфию?                때 필라델피아에 다음 버스는?                                         Πότε είναι το επόμενο λεωφορείο στη Φιλαδέλφεια;                          kiedy jest następny autobus do Filadelfii?                         quando é o próximo ônibus para a Filadélfia?                           当是下一个公交车到费城？                  عندما هو الحافلة القادمة إلى فيلادلفيا؟
when is your birthday?                                            cuando es tu cumpleaños?                                                wann ist dein geburtstag?                                                  c'est quand votre anniversaire?                                              あなたの誕生日はいつですか？                                    когда у тебя день рождения?                               생일이 언제입니까?                                                   όταν είναι τα γενέθλιά σας;                                               kiedy są twoje urodziny?                                           quando é seu aniversário?                                              你的生日是什么时候？                      متى يحين عيد ميلادك؟
when will it be ready?                                            ¿cuándo estará listo?                                                   wann wird es fertig sein?                                                  quand il sera prêt?                                                          とき、それは準備ができて？                                      когда он будет готов?                                     때 준비가 될 것인가?                                                 πότε θα είναι έτοιμο;                                                     kiedy będzie gotowy?                                               quando é que vai estar pronto?                                         什么时候能准备好？                        عندما ستكون جاهزة؟
when would you like to meet?                                      cuándo le gustaría conocer?                                             Wenn möchten Sie treffen?                                                  quand souhaitez-vous rencontrer?                                             ときに会いたい？                                                Когда Вы хотели бы встретиться?                           때 만족 하시겠습니까?                                                Πότε θα επιθυμούσατε να ανταποκριθεί;                                     jeśli chcesz się spotkać?                                          Quando você gostaria de conhecer?                                      当你想见面吗？                            عندما تريد أن الوفاء؟
where are the t-shirts?                                           ¿dónde están las camisetas?                                             wo sind die T-Shirts?                                                      où sont les t-shirts?                                                        ここで、tシャツはありますか？                                   где футболки?                                             여기서 티셔츠는?                                                     όπου βρίσκονται τα t-shirt;                                               gdzie są koszulki?                                                 onde estão as camisetas?                                               那里是T恤？                               أين هي تي شيرت؟
where are you from?                                               de dónde eres?                                                          wo kommst du her?                                                          d'où êtes-vous?                                                              出身はどちらですか？                                            откуда ты?                                                당신은 어디에서인가?                                                 από πού είσαι;                                                            gdzie jesteś?                                                      de onde você é?                                                        你从哪里来？                              من أين أنت؟
where are you going to go?                                        ¿a dónde vas a ir?                                                      wohin gehst du hin?                                                        où allez-vous aller?                                                         どこに行くつもりですか？                                        где вы собираетесь пойти?                                 어디 갈거야?                                                         πού πας να πάει;                                                          gdzie masz zamiar iść?                                             onde você está indo?                                                   你要去哪儿去了？                          إلى أين أنت ذاهب أن تذهب؟
